subset,product,year,count,min,max,mean,stdev,median,sum,q02.5,q10,q25,q75,q90,q97.5
pima,agb_ltgnn,2005,26440240,0,178,5.972222328186035,13.457172393798828,0.8479806747733004,157906992,0.04239903373866502,0.16959613495466008,0.4239903373866502,5.8940054849634915,20.914504288025903,42.86659770679624
pima,agb_ltgnn,2006,26440240,0,178,6.013667583465576,13.384942054748535,0.8524725750120157,159002816,0.04262362875060079,0.17049451500240315,0.42623628750600784,6.028415641882811,21.116862428076434,42.96486679448476
pima,agb_ltgnn,2007,26440240,0,178,6.0742716789245605,13.397392272949219,0.8571104192091126,160605200,0.04285552096045563,0.17142208384182253,0.4285552096045563,6.195565743367258,21.338883167169787,43.16661401106311
pima,agb_ltgnn,2008,26440240,0,178,6.1490092277526855,13.412775039672852,0.86431374705402,162581280,0.043215687352701,0.172862749410804,0.43215687352701,6.4056750467807335,21.58575414451111,43.368740983519444
pima,agb_ltgnn,2009,26440240,0,178,6.163748741149902,13.410629272460938,0.8666229437794705,162970992,0.043331147188973525,0.1733245887558941,0.43331147188973523,6.439503511804507,21.62673691588113,43.46924355203513
pima,agb_ltgnn,2010,26440240,0,178,6.250541687011719,13.472456932067871,0.8728453443233051,165265824,0.04364226721616526,0.17456906886466103,0.43642267216165254,6.6321460592128805,21.919368217062207,43.75657831111679
pima,agb_ltgnn,2011,26440240,0,178,6.348132610321045,13.542790412902832,0.8802005986374984,167846144,0.044010029931874924,0.1760401197274997,0.4401002993187492,6.850072447312372,22.232762460120373,44.052605139220404
pima,agb_ltgnn,2012,26440240,0,178,6.48417329788208,13.653656005859375,0.890041574222183,171443104,0.04450207871110915,0.1780083148444366,0.4450207871110915,7.151862401804922,22.636722824352056,44.470627791118126
pima,agb_ltgnn,2013,26440240,0,178,6.660644054412842,13.831527709960938,0.9017486890744713,176109024,0.04508743445372357,0.18034973781489427,0.4508743445372356,7.513205107866581,23.132343151169547,45.03979571244143
pima,agb_ltgnn,2014,26440240,0,178,6.893328666687012,14.056678771972656,0.9168792860650478,182261264,0.045843964303252396,0.18337585721300959,0.4584396430325239,8.003569501409704,23.731850005644535,45.76221841830923
pima,agb_ltgnn,2015,26440240,0,178,7.113879680633545,14.284950256347656,0.9308639225271975,188092688,0.046543196126359876,0.1861727845054395,0.46543196126359876,8.541127294730595,24.32227530374348,46.487197127630786
pima,agb_ltgnn,2016,26440240,0,178,7.217652320861816,14.370059967041016,0.9425600382797925,190836464,0.04712800191398962,0.1885120076559585,0.47128001913989626,8.857019541554335,24.46480684004171,46.619262296381564
pima,agb_ltgnn,2017,26440240,0,178,7.278019428253174,14.414770126342773,0.9533628809708447,192432576,0.04766814404854223,0.1906725761941689,0.4766814404854223,9.103555816535344,24.334754904782958,46.62755453872867
pima,agb_xu,2000,227.35227966308594,0,89.8001708984375,13.94267463684082,13.332263946533203,10.058562613334164,3169.89892578125,0.5567028638021448,2.0843873643293143,6.621251989839101,16.022448801183703,30.335079373604092,53.56487561166441
pima,agb_xu,2001,227.35227966308594,0,87.02801513671875,14.060848236083984,13.117629051208496,10.671649187318687,3196.765869140625,0.8482360941277821,2.5698746922725335,6.9209533932658704,15.932321571389952,30.705337878443135,54.13270519111392
pima,agb_xu,2002,227.35227966308594,0,89.95186614990234,14.049517631530762,12.886322975158691,10.929689555768524,3194.18994140625,0.14744396903334495,2.255976586310941,7.286209595385451,16.460388872805606,26.10355439794294,54.98173456693868
pima,agb_xu,2003,227.35227966308594,0,86.060577392578125,13.613824844360352,12.959625244140625,10.12773635522164,3095.134033203125,0.6086532100853851,2.0555642607090823,6.767553740646751,15.723743155220813,28.60023967078957,53.7325967636501
pima,agb_xu,2004,227.35227966308594,0,85.2146987915039,13.457786560058594,13.1287260055542,10.143650293891655,3059.658447265625,0.39330820863152893,1.7939567545726003,6.545555714684966,15.214417087965142,29.161918834918424,53.604515770266794
pima,agb_xu,2005,227.35227966308594,0,89.70948028564453,14.23477840423584,13.44028377532959,10.481848375437561,3236.309326171875,0.8571886603367226,2.4370397673227115,6.9582512783273645,15.982584956985532,31.310429128228996,53.51619812809758
pima,agb_xu,2006,227.35227966308594,0,89.0754623413086,14.104227066040039,13.299193382263184,10.490209414500104,3206.628173828125,0.40969221043463994,2.169617975614679,7.075962449873656,16.34319494786048,27.880034609491922,53.1781713768633
pima,agb_xu,2007,227.35227966308594,0,87.70230865478516,13.843754768371582,13.194085121154785,10.50108202414746,3147.4091796875,0.2949573771276426,1.8493991447329161,6.74904119573574,16.135260658407162,29.53852185207389,53.943381049259315
pima,agb_xu,2008,227.35227966308594,0,86.19709777832031,14.341259956359863,14.099454879760742,10.169517376329742,3260.51806640625,0.6570113375950012,1.8192553928314272,6.853994701559871,16.544253215463105,31.936124998012254,55.37374482534855
pima,agb_xu,2009,227.35227966308594,0,89.62761688232422,13.70699405670166,13.323570251464844,10.892724231313712,3116.31640625,0.3309143329029077,1.6433626452530836,6.792986884483545,15.042277539154762,28.23065141984584,52.68938303964758
pima,agb_xu,2010,227.35227966308594,0,86.32844543457031,14.160075187683105,13.541258811950684,10.57813628934344,3219.325439453125,0.5073920398651341,2.209063946963485,6.9589272594384095,15.870322440291217,30.96903754484019,56.092955419108634
pima,agb_xu,2011,227.35227966308594,0,88.36481475830078,13.805609703063965,13.141387939453125,10.736709360641104,3138.73681640625,0.3303390423768001,2.3832401699549486,6.957067984444155,15.388560675239601,27.119835028174215,53.576390344755474
pima,agb_xu,2012,227.35227966308594,0,88.94231414794922,14.081445693969727,13.297560691833496,10.625884756026778,3201.44873046875,0.5693569949144284,1.7965002614890027,7.121008636266813,15.617694606330275,29.428403481787687,53.76625817247158
pima,agb_xu,2013,227.35227966308594,0,89.00261688232422,13.891433715820313,13.273683547973633,10.71685432769732,3158.2490234375,0.42656669644026546,2.1496746241434233,6.933271771704571,15.684766721984492,28.376626977456198,53.90653102667423
pima,agb_xu,2014,227.35227966308594,0,88.71855926513672,14.21296501159668,13.448776245117188,10.469676671935698,3231.35009765625,0.5693569949144284,2.43785244337687,7.257044311033232,16.261107674523736,29.364868559137967,54.87222661504858
pima,agb_xu,2015,227.35227966308594,0,85.7566146850586,14.697218894958496,14.533777236938477,10.063311211290795,3341.4462890625,0.5220232589977565,2.2596863631463973,6.844647688651025,16.98822783569193,34.57277865840001,58.06309098002045
pima,agb_xu,2016,227.35227966308594,0,85.62935638427734,14.476751327514648,14.01585578918457,10.753931660038964,3291.322509765625,0.3702889687708248,2.036955702610208,6.93349312468066,16.345725299237436,32.575098322716464,56.967517885929645
pima,agb_xu,2017,227.35227966308594,0,84.58415222167969,14.507999420166016,13.812650680541992,10.955393783189487,3298.4267578125,0.39614572129929054,2.2659691935296644,7.410113446279252,15.837914612306413,32.10006307863848,56.94868493885267
pima,agb_xu,2018,227.35227966308594,0,86.28449249267578,14.218328475952148,13.715774536132813,10.542076572563298,3232.5693359375,0.39125206698282666,2.232005955681128,6.941544291535424,15.97560552706591,31.039544344612146,55.104878398855824
pima,agb_xu,2019,227.35227966308594,0,85.2646484375,14.738994598388672,14.051955223083496,10.82039170959951,3350.944091796875,0.4265836963766573,2.1819009012448984,7.217909971157432,17.092436531837667,31.43454623169715,56.68096150626582
wilderness,agb_chopping,2000,86008.3203125,0,219,25.554182052612305,35.70257568359375,8.824618185228918,2197872.25,0.06697565818055892,0.2679026327222357,0.6697565818055892,40.44872601203693,77.52104171135338,125.19887303630038
wilderness,agb_chopping,2001,85976.703125,0,907,27.940340042114258,39.64982986450195,9.444639693096093,2402218.25,0.06950838436618163,0.27803353746472653,0.6950838436618163,43.79298907451823,85.49715268337202,136.93704894617946
wilderness,agb_chopping,2002,85995.3203125,0,991,25.507186889648438,37.04124069213867,8.578402573557456,2193498.75,0.06597623190684007,0.2639049276273603,0.6597623190684005,39.47868306273298,77.0043154357084,128.49383792559502
wilderness,agb_chopping,2003,85905.0234375,0,981,26.391267776489258,37.975547790527344,8.992766005739483,2267142.5,0.06808682907656255,0.2723473163062502,0.6808682907656255,41.16634054674987,79.51472059481034,130.26273438013487
wilderness,agb_chopping,2004,85973.4453125,0,931,26.622093200683594,38.428184509277344,8.95530029390954,2288793,0.06784325163217296,0.27137300652869184,0.6784325163217296,41.26863441199012,80.83121484676145,133.85944508873024
wilderness,agb_chopping,2005,85976.6640625,0,848,25.875892639160156,37.05903625488281,8.940760726317732,2224723,0.06792447364340685,0.2716978945736274,0.6792447364340685,40.28547083112923,78.23612850143326,127.0133806934327
wilderness,agb_chopping,2006,85983.3046875,0,875,25.143680572509766,36.09989547729492,8.53764852923115,2161936.75,0.0663824154532763,0.2655296618131052,0.6638241545327631,39.23744825047376,76.39871784060102,124.97599164201003
wilderness,agb_chopping,2007,84406.859375,0,998,23.664995193481445,34.038387298583984,7.89900181257023,1997487.875,0.0658199443605528,0.2632797774422112,0.658199443605528,37.415432417961206,71.93033120601002,115.49174282402038
wilderness,agb_chopping,2008,85945.6171875,0,979,25.99673080444336,37.060890197753906,9.023556537818163,2234305,0.06842566157957769,0.27370264631831076,0.6842566157957768,40.81804553539596,78.77280772969968,126.54170540618594
